,DrugID,Generic Name,DEA Schedule,Common Uses,Interacts With,Risk Level,Interaction_ID
4419,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",pravastatin,Minor,35374
4420,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",valsartan,Minor,95848
4421,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",ramipril,Minor,21466
4422,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",lorazepam,Minor,26340
4423,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",bortezomib,Minor,24001
4424,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",tramadol,Minor,80820
4425,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",hydroxocobalamin,Minor,34047
4426,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",sildenafil,Minor,65915
4427,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",dofetilide,Minor,69165
4428,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",pantoprazole,Minor,40812
4429,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",torasemide,Minor,71225
4430,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",moxifloxacin,Minor,79257
4431,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",nelfinavir,Minor,19277
4432,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",glimepiride,Minor,34605
4433,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",gadodiamide,Minor,98083
4434,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",lovastatin,Minor,51144
4435,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",pregabalin,Minor,67456
4436,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",temazepam,Minor,51372
4437,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",nevirapine,Minor,87195
4438,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",mesalazine,Minor,44556
4439,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",ziprasidone,Minor,90593
4440,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",metoprolol,Minor,54315
4441,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",ropinirole,Minor,52898
4442,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",isradipine,Minor,11382
4443,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",topiramate,Minor,65340
4444,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",lidocaine,Minor,15008
4445,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",pamidronic acid,Minor,68417
4446,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",acarbose,Minor,68265
4447,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",venlafaxine,Minor,83881
4448,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",travoprost,Minor,55006
4449,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",atomoxetine,Minor,68658
4450,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",morphine,Minor,70901
4451,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",ertapenem,Minor,52376
4452,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",zolmitriptan,Minor,51494
4453,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",gefitinib,Minor,26689
4454,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",hydromorphone,Minor,85120
4455,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",indomethacin,Minor,17312
4456,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",metformin,Minor,88122
4457,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",olanzapine,Minor,78176
4458,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",omeprazole,Minor,84717
4459,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",minoxidil,Minor,71199
4460,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",vinorelbine,Minor,15216
4461,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",sucralfate,Minor,44384
4462,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",mirtazapine,Minor,64734
4463,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",timolol,Minor,51183
4464,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",palonosetron,Minor,46064
4465,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",progesterone,Minor,40183
4466,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",sorafenib,Minor,93358
4467,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",zoledronic acid,Minor,69675
4468,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",nisoldipine,Minor,35762
4469,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",mupirocin,Minor,40066
4470,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",rosiglitazone,Minor,80230
4471,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",pramipexole,Minor,64853
4472,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",spironolactone,Minor,99554
4473,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",methylphenidate,Minor,47294
4474,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",methocarbamol,Minor,20303
4475,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",zolpidem,Minor,56369
4476,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",prochlorperazine,Minor,95142
4477,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",allopurinol,Minor,59389
4478,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",gemcitabine,Minor,74950
4479,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",lansoprazole,Minor,42975
4480,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",meperidine,Minor,43530
4481,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",loratadine,Minor,52482
4482,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",imipramine,Minor,92274
4483,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",nabumetone,Minor,87687
4484,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",ketorolac,Minor,93530
4485,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",montelukast,Minor,55642
4486,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",duloxetine,Minor,69327
4487,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",lenalidomide,Minor,50917
4488,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",raloxifene,Minor,92458
4489,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",sotalol,Minor,42228
4490,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",fosinopril,Minor,25223
4491,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",entacapone,Minor,30089
4492,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",zidovudine,Minor,72177
4493,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",darifenacin,Minor,45988
4494,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",oxycodone,Minor,47185
4495,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",haloperidol,Minor,47223
4496,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",ritonavir,Minor,38445
4497,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",vancomycin,Minor,24175
4498,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",cisplatin,Minor,96938
4499,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",metolazone,Minor,26819
4500,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",oxaliplatin,Minor,96393
4501,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",erlotinib,Minor,32149
4502,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",rofecoxib,Minor,50575
4503,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",cefdinir,Minor,36077
4504,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",nortriptyline,Minor,54632
4505,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",vincristine,Minor,81353
4506,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",zafirlukast,Minor,94759
4507,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",piroxicam,Minor,95916
4508,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",hydroxyzine,Minor,17509
4509,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",bosentan,Minor,72011
4510,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",propranolol,Minor,46110
4511,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",valaciclovir,Minor,77378
4512,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",valdecoxib,Minor,12595
4513,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",lactulose,Minor,38995
4514,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",voriconazole,Minor,92144
4515,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",nizatidine,Minor,76807
4516,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",labetalol,Minor,58628
4517,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",linezolid,Minor,86609
4518,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",sulindac,Minor,50785
4519,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",imatinib,Minor,64184
4520,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",triamcinolone,Minor,20162
4521,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",testosterone,Minor,43170
4522,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",prednisone,Minor,13931
4523,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",simvastatin,Minor,54841
4524,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",pemetrexed,Minor,37644
4525,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",nystatin,Minor,80129
4526,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",stavudine,Minor,67802
4527,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",latanoprost,Minor,16528
4528,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",trazodone,Minor,25254
4529,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",sevelamer,Minor,49368
4530,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",sumatriptan,Minor,94943
4531,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",aprepitant,Minor,98555
4532,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",galantamine,Minor,21045
4533,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",tamoxifen,Minor,80321
4534,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",losartan,Minor,54203
4535,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",warfarin,Minor,90187
4536,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",moexipril,Minor,56534
4537,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",furosemide,Minor,50656
4538,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",tizanidine,Minor,30240
4539,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",nitrofurantoin,Minor,58459
4540,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",tamsulosin,Minor,35745
4541,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",lamivudine,Minor,84758
4542,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",ibandronate,Minor,78071
4543,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",paroxetine,Minor,92364
4544,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",lisinopril,Minor,47325
4545,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",nitroglycerin,Minor,79989
4546,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",nateglinide,Minor,53982
4547,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",risperidone,Minor,90270
4548,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",hydrocortisone,Minor,40793
4549,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",modafinil,Minor,29901
4550,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",isoflurane,Minor,39936
4551,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",tretinoin,Minor,94977
4552,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",tetracycline,Minor,24676
4553,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",potassium chloride,Minor,25560
4554,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",irinotecan,Minor,27651
4555,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",olopatadine,Minor,99848
4556,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",perindopril,Minor,23140
4557,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",gentamicin,Minor,95324
4558,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",pentoxifylline,Minor,33386
4559,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",indapamide,Minor,28767
4560,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",ribavirin,Minor,15865
4561,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",meloxicam,Minor,33873
4562,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",propofol,Minor,19134
4563,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",tadalafil,Minor,91097
4564,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",loperamide,Minor,86663
4565,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",oxazepam,Minor,35483
4566,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",terbinafine,Minor,34248
4567,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",prednisolone,Minor,47261
4568,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",vardenafil,Minor,11644
4569,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",ranitidine,Minor,29495
4570,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",tacrolimus,Minor,85314
4571,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",sirolimus,Minor,98588
4572,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",quinapril,Minor,78806
4573,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",isosorbide dinitrate,Minor,48965
4574,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",risedronic acid,Minor,26988
4575,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",granisetron,Minor,49223
4576,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",triazolam,Minor,17244
4577,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",ondansetron,Minor,45546
4578,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",bimatoprost,Minor,26719
4579,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",zonisamide,Minor,47327
4580,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",paricalcitol,Minor,48831
4581,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",repaglinide,Minor,33602
4582,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",metronidazole,Minor,10709
4583,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",misoprostol,Minor,78940
4584,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",salmeterol,Minor,29282
4585,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",isoniazid,Minor,43526
4586,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",rizatriptan,Minor,91783
4587,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",carboplatin,Minor,98292
4588,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",methylprednisolone,Minor,17704
4589,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",zaleplon,Minor,95745
4590,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",telmisartan,Minor,49659
4591,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",desloratadine,Minor,71616
4592,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",methyldopa,Minor,47840
4593,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",selenium sulfide,Minor,21169
4594,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",ezetimibe,Minor,66230
4595,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",telithromycin,Minor,33311
4596,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",formoterol,Minor,63789
4597,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",rivastigmine,Minor,81147
4598,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",oxaprozin,Minor,18904
4599,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",auranofin,Minor,71321
4600,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",gabapentin,Minor,85255
4601,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",hydrochlorothiazide,Minor,68061
4602,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",ganciclovir,Minor,44379
4603,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",hydroxyurea,Minor,33470
4604,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",letrozole,Minor,94919
4605,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",ketoprofen,Minor,49466
4606,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",cinacalcet,Minor,60687
4607,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",balsalazide,Minor,75976
4608,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",glyburide,Minor,82121
4609,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",isosorbide mononitrate,Minor,89514
4610,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",phylloquinone,Minor,50900
4611,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",irbesartan,Minor,69771
4612,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",probenecid,Minor,25225
4613,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",mercaptopurine,Minor,91511
4614,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",tolterodine,Minor,98110
4615,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",thalidomide,Minor,78536
4616,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",memantine,Minor,38398
4617,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",gatifloxacin,Minor,94760
4618,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",rifampicin,Minor,11937
4619,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",ibuprofen,Minor,88193
4620,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",norfloxacin,Minor,93663
4621,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",oxybutynin,Minor,85933
4622,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",glipizide,Minor,94934
4623,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",promethazine,Minor,39177
4624,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",atazanavir,Minor,23132
4625,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",tegaserod,Minor,55724
4626,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",orlistat,Minor,15857
4627,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",pilocarpine,Minor,27792
4628,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",iloprost,Minor,60107
4629,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",leflunomide,Minor,30770
4630,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",rosuvastatin,Minor,86896
4631,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",sertraline,Minor,21710
4632,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",nifedipine,Minor,66370
4633,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",atovaquone,Minor,59112
4634,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",dutasteride,Minor,33821
4635,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",rabeprazole,Minor,30942
4636,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",pioglitazone,Minor,34014
4637,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",terazosin,Minor,77698
4638,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",calcium chloride,Minor,59608
4639,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",ofloxacin,Minor,18951
4640,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",itraconazole,Minor,93333
4641,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",arsenic trioxide,Minor,40506
4642,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",orphenadrine,Minor,79593
4643,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",zopiclone,Minor,97821
4644,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",levetiracetam,Minor,30087
4645,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",nadolol,Minor,80398
4646,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",mitoxantrone,Minor,89941
4647,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",clarithromycin,Minor,76537
4648,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",quetiapine,Minor,88139
4649,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",paclitaxel,Minor,54386
4650,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",metoclopramide,Minor,73750
4651,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",aripiprazole,Minor,91442
4652,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",gemfibrozil,Minor,77159
4653,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",varenicline,Minor,58773
4654,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",pirbuterol,Minor,95540
4655,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",sodium bicarbonate,Minor,85400
4656,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",tiotropium,Minor,36907
4657,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",ursodeoxycholic acid,Minor,51352
4658,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",nitrazepam,Minor,38499
4659,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",valganciclovir,Minor,14601
4660,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",hydroxychloroquine,Minor,86375
4661,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",ambrisentan,Minor,24263
4662,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",clobetasol,Minor,99702
4663,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",fluticasone,Minor,35685
4664,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",vitamin a,Minor,22945
4665,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",flunisolide,Minor,82829
4666,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",baclofen,Minor,85925
4667,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",nicotine,Minor,74556
4668,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",fluconazole,Minor,48757
4669,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",erythromycin,Minor,89027
4670,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",caffeine,Minor,67487
4671,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",azithromycin,Minor,78791
4672,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",citalopram,Minor,51554
4673,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",cabergoline,Minor,64804
4674,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",dapsone,Minor,22132
4675,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",doxycycline,Minor,64933
4676,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",clotrimazole,Minor,10750
4677,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",carmustine,Minor,40607
4678,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",theophylline,Minor,81502
4679,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",liothyronine,Minor,52010
4680,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",chlorthalidone,Minor,15583
4681,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",acetaminophen,Minor,81736
4682,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",dihydroergotamine,Minor,39123
4683,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",amitriptyline,Minor,19708
4684,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",ethambutol,Minor,25705
4685,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",atenolol,Minor,57976
4686,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",pyrazinamide,Minor,90764
4687,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",cetirizine,Minor,30317
4688,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",diltiazem,Minor,39453
4689,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",alfuzosin,Minor,35417
4690,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",chlorzoxazone,Minor,14179
4691,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",clozapine,Minor,78850
4692,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",amlodipine,Minor,38693
4693,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",digoxin,Minor,81966
4694,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",carisoprodol,Minor,44815
4695,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",alprazolam,Minor,53064
4696,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",ampicillin,Minor,82819
4697,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",famciclovir,Minor,16361
4698,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",ceftazidime,Minor,17749
4699,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",cerivastatin,Minor,11997
4700,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",chloramphenicol,Minor,46154
4701,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",droperidol,Minor,59453
4702,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",levothyroxine,Minor,33420
4703,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",fluoxetine,Minor,70354
4704,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",chlordiazepoxide,Minor,20537
4705,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",chlorpromazine,Minor,98221
4706,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",celecoxib,Minor,41017
4707,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",brimonidine,Minor,97369
